utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ
1636576705052000,-25.9015,14.109100000000002,141.083,-24.4888,-2.17342,145.379,-34.2279,-1.77761,150.376,-14.7497,-2.56923,140.382,-34.2278,-22.0742,150.376,-6.19423,-21.3279,137.721,-34.2279,-42.3709,150.376,-8.25897,-42.5871,136.928,-23.259,-17.221,148.96800000000002,-28.3376,-32.0122,155.793,-15.7208,-32.525,149.31900000000002
1636576705086000,-25.8271,14.1542,140.785,-24.36,-2.0188,145.377,-34.0452,-1.59212,150.475,-14.6748,-2.44547,140.28,-34.0452,-21.8888,150.475,-6.12923,-21.314,137.40699999999998,-34.0452,-42.1854,150.475,-8.26735,-42.5529,136.347,-23.0053,-16.9954,149.20499999999998,-28.0376,-31.6906,156.394,-15.2636,-32.2533,149.67000000000002
1636576705129000,-25.895100000000003,14.1356,140.837,-24.3949,-2.10456,145.428,-34.0733,-1.70763,150.542,-14.7165,-2.50149,140.31400000000002,-34.0733,-22.0043,150.542,-6.12701,-21.2423,137.128,-34.0733,-42.3009,150.542,-8.27591,-42.4681,135.85,-22.9845,-17.0768,149.259,-27.9278,-31.7886,156.448,-15.2204,-32.3097,149.733
1636576705162000,-25.8993,14.0697,140.769,-24.1905,-2.31461,144.83499999999998,-33.9636,-2.27107,149.765,-14.4175,-2.35815,139.905,-33.9636,-22.5677,149.765,-6.27947,-21.035400000000003,136.581,-33.9636,-42.8643,149.765,-8.02617,-42.3145,135.91199999999998,-22.6966,-17.430500000000002,147.93,-28.218400000000003,-32.515100000000004,154.56400000000002,-14.1872,-32.577600000000004,147.486
1636576705186000,-25.9294,14.1109,140.828,-24.1081,-2.21052,144.966,-33.8851,-2.19436,149.897,-14.3311,-2.22668,140.035,-33.8851,-22.491,149.897,-6.09634,-21.157,136.45499999999998,-33.8851,-42.7876,149.897,-8.1176,-42.4172,135.797,-22.471,-17.2769,148.262,-27.2791,-32.3327,154.808,-14.3886,-32.354,148.30599999999998
1636576705218000,-25.9054,14.212799999999998,140.957,-24.0396,-2.17731,145.143,-33.7605,-2.14024,150.18699999999998,-14.318700000000002,-2.21437,140.1,-33.7605,-22.4369,150.18699999999998,-6.11904,-20.9499,136.084,-33.7606,-42.7335,150.18699999999998,-7.9754,-42.2319,135.546,-22.3303,-17.2166,148.548,-26.9877,-32.231700000000004,155.257,-14.2544,-32.2803,148.651
1636576705262000,-25.8899,14.1052,141.024,-23.9895,-2.22298,145.142,-33.6643,-2.21603,150.275,-14.314699999999998,-2.22994,140.009,-33.6643,-22.5127,150.275,-6.21141,-20.8858,135.797,-33.6644,-42.8093,150.275,-7.981999999999999,-42.1748,135.89,-22.1945,-17.255699999999997,148.546,-26.8134,-32.2839,155.352,-13.985400000000002,-32.293099999999995,148.546
1636576705294000,-25.791500000000003,14.1277,140.853,-23.904400000000003,-2.15974,145.126,-33.5705,-2.06245,150.276,-14.2383,-2.25703,139.976,-33.5705,-22.3591,150.276,-6.25555,-20.8662,135.746,-33.5706,-42.6557,150.276,-7.887779999999999,-42.1691,136.04000000000002,-22.1567,-17.1618,148.68900000000002,-26.6672,-32.1008,155.587,-14.1508,-32.2268,148.919
1636576705319000,-25.7251,14.1306,140.826,-23.764,-2.19916,145.08599999999998,-33.4264,-2.17457,150.245,-14.1016,-2.22376,139.928,-33.4264,-22.4712,150.245,-6.28183,-20.9257,135.746,-33.4264,-42.7678,150.245,-7.8541,-42.2354,136.118,-21.9183,-17.1988,148.615,-26.5406,-32.182100000000005,155.597,-13.6047,-32.215,148.69
1636576705350000,-25.7344,14.1568,140.855,-23.6736,-2.17421,145.116,-33.3822,-2.2119,150.18699999999998,-13.965,-2.13652,140.04500000000002,-33.3821,-22.5085,150.18699999999998,-6.29415,-20.9342,135.76600000000002,-33.3822,-42.8052,150.18699999999998,-7.7578,-42.246,136.389,-21.7153,-17.1333,148.754,-26.1815,-32.1173,155.748,-13.3325,-32.0674,149.03699999999998
1636576705387000,-25.7792,14.3155,141.026,-23.8155,-2.01642,145.198,-33.456599999999995,-1.99776,150.395,-14.1744,-2.03509,140.001,-33.456599999999995,-22.2944,150.395,-6.30569,-20.878,135.817,-33.4567,-42.591,150.395,-7.78563,-42.1948,136.05,-21.9517,-17.0178,148.70999999999998,-26.428800000000003,-32.0068,155.64,-13.7468,-32.031400000000005,148.803
1636576705421000,-25.7447,14.2689,140.851,-23.7195,-2.04181,145.147,-33.3462,-1.99374,150.372,-14.0928,-2.0898700000000003,139.922,-33.3461,-22.2904,150.372,-6.32421,-20.7147,135.899,-33.3462,-42.587,150.372,-7.69791,-42.0393,136.24200000000002,-21.834200000000003,-17.0173,148.75799999999998,-26.2622,-31.9613,155.796,-13.6357,-32.0243,148.943
1636576705457000,-25.699900000000003,14.273599999999998,140.81099999999998,-23.7283,-2.02119,145.178,-33.3518,-1.92362,150.409,-14.1048,-2.11876,139.947,-33.3518,-22.2203,150.409,-6.3171,-20.8089,135.959,-33.3519,-42.5169,150.409,-7.5846,-42.1398,136.381,-21.87,-16.9792,148.876,-26.2378,-31.8742,155.958,-13.7857,-32.0004,149.19
1636576705494000,-25.7616,14.3967,140.594,-23.7189,-1.87295,145.108,-33.345600000000005,-1.74992,150.333,-14.0922,-1.99599,139.88299999999998,-33.345600000000005,-22.0466,150.333,-6.33239,-20.8422,136.012,-33.345600000000005,-42.3432,150.333,-7.61004,-42.170100000000005,136.568,-21.8357,-16.7967,148.929,-26.2142,-31.6405,156.149,-13.6909,-31.8006,149.352
1636576705529000,-25.7395,14.297900000000002,140.598,-23.5999,-2.15446,144.632,-33.3142,-2.4308,149.666,-13.8857,-1.87813,139.597,-33.3141,-22.7274,149.666,-6.334300000000001,-20.7234,136.029,-33.3142,-43.0241,149.666,-7.50258,-42.0613,136.395,-21.6096,-17.226499999999998,147.645,-26.5792,-32.4966,154.265,-12.6592,-32.1006,147.051
1636576705552000,-25.7013,14.1641,140.744,-23.7209,-2.12958,144.93699999999998,-33.416000000000004,-2.18197,150.02,-14.0258,-2.07719,139.853,-33.416000000000004,-22.4786,150.02,-6.14055,-20.9333,136.405,-33.4161,-42.7752,150.02,-7.81256,-42.2243,136.131,-21.8534,-17.1389,148.344,-25.9617,-32.1806,154.884,-14.01,-32.116,148.61700000000002
1636576705583000,-25.760700000000003,14.1722,140.821,-24.1412,-2.1729,144.847,-33.8293,-2.05205,149.947,-14.4532,-2.29375,139.747,-33.8293,-22.3487,149.947,-6.0321,-21.1748,136.628,-33.8294,-42.6453,149.947,-7.85659,-42.4589,136.241,-22.6875,-17.2899,147.967,-27.236200000000004,-32.332,154.247,-15.2312,-32.4818,147.927
1636576705618000,-25.8479,14.0606,141.007,-24.3412,-2.35264,144.923,-34.058,-2.14745,149.97,-14.6245,-2.55783,139.876,-34.058,-22.4441,149.97,-6.07112,-21.2914,136.78900000000002,-34.058,-42.7407,149.97,-7.91024,-42.5667,136.052,-23.0484,-17.4952,148.028,-27.8979,-32.5081,154.323,-15.6134,-32.7675,147.942
1636576705657000,-25.8514,14.0665,140.947,-24.4316,-2.28101,145.025,-34.1121,-1.99077,150.139,-14.7512,-2.57125,139.911,-34.1121,-22.2874,150.139,-6.0476,-21.428,136.743,-34.1122,-42.584,150.139,-7.917409999999999,-42.7105,136.294,-23.1755,-17.403299999999998,148.261,-28.110000000000003,-32.3399,154.767,-15.7286,-32.711200000000005,148.226
1636576705690000,-25.9143,14.0667,140.966,-24.5139,-2.27525,145.03699999999998,-34.1657,-1.95338,150.20499999999998,-14.862,-2.59712,139.869,-34.1657,-22.25,150.20499999999998,-6.05659,-21.379,136.72899999999998,-34.165800000000004,-42.5466,150.20499999999998,-7.96477,-42.6558,136.10899999999998,-23.2608,-17.3906,148.31900000000002,-28.2628,-32.2973,154.949,-15.7529,-32.7145,148.251
1636576705720000,-25.997000000000003,14.1307,140.974,-24.534,-2.15174,145.105,-34.1766,-1.83745,150.292,-14.8913,-2.46603,139.919,-34.1766,-22.1341,150.292,-6.07552,-21.4086,136.68800000000002,-34.1767,-42.4307,150.292,-7.83532,-42.7029,136.222,-23.1974,-17.2347,148.504,-28.1587,-32.1123,155.291,-15.5628,-32.522800000000004,148.51600000000002
1636576705753000,-26.1433,14.2929,141.029,-24.4423,-1.92029,145.285,-34.0066,-1.65454,150.615,-14.8779,-2.18604,139.95499999999998,-34.0066,-21.9512,150.615,-6.07782,-21.2401,136.703,-34.0067,-42.2478,150.615,-7.745569999999999,-42.545100000000005,136.378,-22.8553,-16.930500000000002,148.881,-27.6367,-31.7638,156.026,-14.8998,-32.1177,148.928
1636576705787000,-26.0441,14.2524,140.964,-24.2739,-2.00935,145.18900000000002,-33.8194,-1.82105,150.557,-14.7283,-2.1976400000000003,139.821,-33.8194,-22.1177,150.557,-6.02561,-20.9818,136.554,-33.8195,-42.4143,150.557,-7.69487,-42.2836,136.051,-22.5767,-17.0216,148.73399999999998,-27.3088,-31.907100000000003,155.894,-14.4502,-32.1608,148.663
1636576705820000,-25.937900000000003,14.2691,140.92000000000002,-24.1633,-1.96802,145.196,-33.7319,-1.76326,150.523,-14.5947,-2.17277,139.869,-33.7319,-22.0599,150.523,-5.9572,-21.0755,136.43699999999998,-33.732,-42.3565,150.523,-7.57317,-42.3851,136.134,-22.485,-16.9727,148.78699999999998,-27.0747,-31.843200000000003,155.868,-14.5387,-32.1114,148.889
1636576705853000,-25.9327,14.143,140.91199999999998,-24.1431,-2.05553,145.074,-33.7219,-1.93262,150.386,-14.5642,-2.17843,139.763,-33.7219,-22.2293,150.386,-5.92495,-21.0877,136.356,-33.7219,-42.5259,150.386,-7.525679999999999,-42.3969,135.93,-22.422,-17.0882,148.526,-27.0905,-32.038799999999995,155.52100000000002,-14.311600000000002,-32.2028,148.435
1636576705895000,-25.9313,14.191,140.451,-24.1272,-2.05661,144.847,-33.804199999999994,-1.9256,149.973,-14.4502,-2.18762,139.72,-33.804199999999994,-22.2222,149.973,-5.90728,-21.1048,136.277,-33.804199999999994,-42.5189,149.973,-7.53579,-42.4147,136.087,-22.4254,-17.0576,148.443,-27.0306,-31.9731,155.38,-14.4165,-32.1439,148.697
1636576705928000,-25.943900000000003,14.2524,140.677,-24.204,-2.03968,144.83599999999998,-33.8805,-1.94394,149.967,-14.5276,-2.13542,139.70499999999998,-33.880399999999995,-22.2406,149.967,-5.91099,-21.141,136.22899999999998,-33.8805,-42.5372,149.967,-7.61621,-42.446,136.09,-22.5485,-17.0901,148.239,-27.2395,-32.077600000000004,155.007,-14.5465,-32.203199999999995,148.277
1636576705953000,-25.9963,14.1877,140.93699999999998,-24.2941,-2.13944,144.921,-33.9093,-2.00521,150.16400000000002,-14.6789,-2.27366,139.678,-33.9093,-22.3018,150.16400000000002,-5.89053,-21.1134,136.233,-33.9094,-42.5985,150.16400000000002,-7.544329999999999,-42.4233,136.18900000000002,-22.7288,-17.2317,148.178,-27.3927,-32.237,154.832,-14.9341,-32.411,148.038
1636576705985000,-25.9937,14.1184,140.921,-24.3558,-2.19609,144.922,-33.9504,-2.03913,150.204,-14.7613,-2.35306,139.64,-33.9504,-22.3358,150.204,-5.88538,-21.1762,136.274,-33.9504,-42.6324,150.204,-7.62538,-42.4794,136.22899999999998,-22.8304,-17.3013,148.142,-27.5422,-32.3044,154.796,-15.0675,-32.5085,147.928
