utcMicrosecondsSinceEpoch,headX,headY,headZ,neckX,neckY,neckZ,leftShoulderX,leftShoulderY,leftShoulderZ,rightShoulderX,rightShoulderY,rightShoulderZ,leftElbowX,leftElbowY,leftElbowZ,rightElbowX,rightElbowY,rightElbowZ,leftHandX,leftHandY,leftHandZ,rightHandX,rightHandY,rightHandZ,torsoX,torsoY,torsoZ,leftHipX,leftHipY,leftHipZ,rightHipX,rightHipY,rightHipZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ
26501,1636576650550000,-25.8187,14.734,139.372,-23.9423,-0.999371,145.67000000000002,-34.0407,-0.7417819999999999,149.903,-13.8439,-1.2569599999999999,141.43699999999998,-34.0407,-21.0384,149.903,-7.154559999999999,-24.0199,139.704,-34.0407,-41.335,149.903,-11.3792,-29.7286,119.545,-22.1191,-15.489099999999999,150.901,-26.8849,-29.8108,158.894,-13.706999999999999,-30.1469,153.37,-20.7213,-19.066,130.183,-13.706999999999999,-61.1888,153.37,-22.442,-19.1314,100.187,-13.706999999999999,-91.0368,153.37
26502,1636576650583000,-25.8633,14.735499999999998,139.378,-23.976599999999998,-0.877965,145.747,-34.0644,-0.612355,150.007,-13.888900000000001,-1.14357,141.488,-34.0644,-20.909,150.007,-7.120369999999999,-24.152,139.85999999999999,-34.0644,-41.2056,150.007,-11.3672,-29.888299999999997,119.71300000000001,-22.0995,-15.3225,151.094,-26.895699999999998,-29.5913,159.25799999999998,-13.549000000000001,-29.942700000000002,153.622,-20.253,-18.647100000000002,130.85999999999999,-13.549000000000001,-60.9846,153.622,-22.2459,-18.8915,100.983,-13.549000000000001,-90.8326,153.622
26503,1636576650616000,-25.8479,14.7404,139.33800000000002,-23.8946,-0.8673719999999999,145.716,-34.0338,-0.729861,149.855,-13.7554,-1.00488,141.578,-34.0338,-21.0265,149.855,-7.133830000000001,-24.1632,139.876,-34.0339,-41.3231,149.855,-11.2904,-30.0332,119.748,-21.9378,-15.330000000000002,150.991,-26.8493,-29.699400000000004,159.06900000000002,-13.112799999999998,-29.885700000000003,153.46099999999998,-20.1824,-18.9672,130.656,-13.112799999999998,-60.9276,153.46099999999998,-22.2582,-19.2512,100.833,-13.112799999999998,-90.7756,153.46099999999998
26504,1636576650649000,-25.8709,14.6581,139.519,-23.868100000000002,-0.930949,145.75,-34.0428,-0.9074099999999999,149.803,-13.6934,-0.954489,141.697,-34.0428,-21.204,149.803,-7.07644,-24.058600000000002,139.786,-34.042899999999996,-41.5007,149.803,-11.274899999999999,-30.030399999999997,119.69800000000001,-21.8363,-15.4164,150.935,-26.6698,-29.886000000000003,158.855,-12.9391,-29.9178,153.385,-19.7475,-18.8081,130.67000000000002,-12.9391,-60.9597,153.385,-22.299,-19.3524,100.917,-12.9391,-90.8077,153.385
26505,1636576650682000,-25.858800000000002,14.692599999999999,139.405,-23.8247,-0.9659449999999999,145.708,-33.9681,-0.892427,149.84,-13.681299999999998,-1.03946,141.577,-33.968,-21.1891,149.84,-7.036969999999999,-23.892,139.719,-33.9681,-41.4857,149.84,-11.270399999999999,-29.939100000000003,119.66,-21.799100000000003,-15.4368,150.93900000000002,-26.5296,-29.8587,158.921,-13.0174,-29.956599999999998,153.418,-19.7865,-18.6652,130.752,-13.0174,-60.9985,153.418,-22.490299999999998,-19.1453,101.022,-13.0174,-90.8465,153.418
26506,1636576650718000,-25.547900000000002,14.578100000000001,138.601,-23.7873,-0.872363,145.598,-33.9058,-0.400153,149.746,-13.668899999999999,-1.34457,141.449,-33.9057,-20.6968,149.746,-7.01716,-23.8314,139.837,-33.9058,-40.9934,149.746,-11.2347,-29.8315,119.75999999999999,-22.0565,-15.1281,151.441,-26.6604,-29.0882,159.88299999999998,-13.991,-29.6795,154.68800000000002,-19.9531,-17.9421,131.692,-13.991,-60.7214,154.68800000000002,-22.736,-18.408099999999997,101.973,-13.991,-90.5694,154.68800000000002
26507,1636576650754000,-25.4685,14.581399999999999,137.847,-23.7856,-0.66853,145.424,-33.9,0.017659,149.557,-13.671299999999999,-1.35472,141.29000000000002,-33.9,-20.279,149.557,-7.11473,-24.3304,139.621,-33.9,-40.575599999999994,149.557,-11.310599999999999,-30.1488,119.487,-22.1423,-14.713999999999999,151.776,-27.021499999999996,-28.317,160.794,-13.9766,-29.201999999999998,155.462,-22.2907,-20.5121,127.869,-13.9766,-60.2439,155.462,-22.3579,-18.5992,94.9049,-13.9766,-90.0919,155.462
26508,1636576650789000,-25.6587,14.569399999999998,138.739,-23.4752,-0.9813029999999999,145.307,-33.7396,-1.20206,148.976,-13.2108,-0.760548,141.638,-33.7396,-21.4987,148.976,-7.32614,-24.4671,139.355,-33.7396,-41.7953,148.976,-11.4085,-30.090600000000002,119.143,-21.3187,-15.385499999999999,150.473,-26.5908,-29.949400000000004,158.29500000000002,-11.7334,-29.6299,152.983,-21.6325,-21.3293,128.35899999999998,-11.7334,-60.6718,152.983,-22.3066,-20.1431,96.9687,-11.7334,-90.5198,152.983
26509,1636576650822000,-25.645,14.7497,139.067,-23.4851,-0.885381,145.487,-33.646699999999996,-0.913683,149.488,-13.323500000000001,-0.857079,141.486,-33.646699999999996,-21.2103,149.488,-7.092059999999999,-23.6851,139.63299999999998,-33.646699999999996,-41.5069,149.488,-11.4366,-29.4912,119.529,-21.354400000000002,-15.276499999999999,150.797,-25.6952,-29.6856,158.654,-12.7523,-29.6495,153.558,-20.6478,-18.7944,129.86700000000002,-12.7523,-60.6914,153.558,-22.5591,-18.6995,99.3391,-12.7523,-90.5394,153.558
26510,1636576650856000,-25.7529,14.7056,139.331,-23.6999,-0.861961,145.634,-33.8332,-0.797565,149.748,-13.5666,-0.9263579999999999,141.52100000000002,-33.8332,-21.0942,149.748,-7.06502,-23.7506,139.691,-33.8332,-41.3908,149.748,-11.3727,-29.526799999999998,119.57000000000001,-21.6302,-15.274700000000001,150.959,-26.020999999999997,-29.6464,158.906,-13.0999,-29.728500000000004,153.661,-21.026699999999998,-19.0423,130.083,-13.0999,-60.770399999999995,153.661,-22.5851,-19.0006,99.9077,-13.0999,-90.6184,153.661
